journal_name,journal_name_norm,issn,eissn,jcr_year,jif,categories,source_files,% of Articles in Citable items,% of Citable OA,2024 JCI,2024 JIF,5 Year JIF,5 Year JIF Quartile,AIS Quartile,AIS Rank,Article Influence Score,Citable Items,Cited Half-Life,Citing Half-Life,Edition,Eigenfactor,Immediacy Index,JCI Percentile,JCI Quartile,JCI Rank,JCR Abbreviation,JIF Percentile,JIF Quartile,JIF Rank,JIF Without Self Cites,Normalized Eigenfactor,Publisher,Total Articles,Total Citations
JOURNAL OF CULTURAL HERITAGE,JOURNAL OF CULTURAL HERITAGE,1296-2074,1778-3674,2024,3.3,"CHEMISTRY, ANALYTICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY | SPECTROSCOPY","CHEMISTRY, ANALYTICAL_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;SPECTROSCOPY_JCR_JournalResults_02_2026.csv",94.74%,31.4%,2.24,3.3,3.6,Q1 | Q2,Q1 | Q2,215/455 | 31/111 | 8/44,0.597,228,6,9.2,SCIE,0.004,1,93.41 | 97.75 | 98.86,Q1,1/44 | 3/111 | 31/463,J CULT HERIT,50.9 | 63.5 | 83.0,Q1 | Q2,227/461 | 41/111 | 8/44,3,0.95,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,216,"6,988"
Journal of Manufacturing and Materials Processing,JOURNAL OF MANUFACTURING AND MATERIALS PROCESSING,,2504-4494,2024,3.3,"ENGINEERING, MANUFACTURING | MATERIALS SCIENCE, MULTIDISCIPLINARY","ENGINEERING, MANUFACTURING_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",92.64%,100%,0.63,3.3,3.6,Q2,Q2 | Q3,233/455 | 33/67,0.562,299,3.2,5.8,ESCI,0.003,0.7,51.41 | 54.54,Q2,211/463 | 35/71,J MANUF MATER PROC,50.9 | 54.2,Q2,227/461 | 33/71,3.2,0.735,MDPI,277,"3,221"
JOURNAL OF THE ELECTROCHEMICAL SOCIETY,JOURNAL OF THE ELECTROCHEMICAL SOCIETY,0013-4651,1945-7111,2024,3.3,"ELECTROCHEMISTRY | MATERIALS SCIENCE, COATINGS & FILMS","ELECTROCHEMISTRY_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, COATINGS & FILMS_JCR_JournalResults_02_2026.csv",95.02%,37.3%,0.57,3.3,3.8,Q2,Q2,18/44 | 6/23,0.671,"1,185",9.4,6.4,SCIE,0.039,0.8,60.23 | 60.42,Q2,10/24 | 18/44,J ELECTROCHEM SOC,53.4 | 64.6,Q2,21/44 | 9/24,2.9,8.64,ELECTROCHEMICAL SOC INC,"1,126","93,602"
JOURNAL OF THERMAL SPRAY TECHNOLOGY,JOURNAL OF THERMAL SPRAY TECHNOLOGY,1059-9630,1544-1016,2024,3.3,"MATERIALS SCIENCE, COATINGS & FILMS","MATERIALS SCIENCE, COATINGS & FILMS_JCR_JournalResults_02_2026.csv",97.92%,21.62%,0.62,3.3,3.4,Q2,Q2,11/23,0.484,192,8,7.4,SCIE,0.003,0.5,68.75,Q2,8/24,J THERM SPRAY TECHN,64.6,Q2,9/24,2.8,0.723,SPRINGER,188,"7,600"
Nano Futures,NANO FUTURES,,2399-1984,2024,3.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY | PHYSICS, APPLIED","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",60%,38.89%,0.31,3.3,2.9,Q2 | Q3,Q2 | Q3,235/455 | 74/187 | 84/147,0.558,10,3.6,5.1,SCIE,0.001,2.4,20.75 | 23.80 | 24.08,Q4,117/147 | 143/187 | 352/463,NANO FUTURES,42.5 | 50.9 | 63.4,Q2 | Q3,227/461 | 69/187 | 85/147,3.2,0.129,IOP Publishing Ltd,6,505
Nanomaterials and Nanotechnology,NANOMATERIALS AND NANOTECHNOLOGY,1847-9804,1847-9804,2024,3.3,"MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY | PHYSICS, APPLIED","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",100%,100%,0.44,3.3,3.3,Q2 | Q3,Q2 | Q3,267/455 | 92/187 | 98/147,0.467,5,6.6,7.7,SCIE,0,2.2,36.39 | 37.70 | 38.12,Q3,117/187 | 287/463 | 94/147,NANOMATER NANOTECHNO,42.5 | 50.9 | 63.4,Q2 | Q3,227/461 | 69/187 | 85/147,3.2,0.087,WILEY,5,786
OPTICS EXPRESS,OPTICS EXPRESS,1094-4087,,2024,3.3,OPTICS,OPTICS_JCR_JournalResults_02_2026.csv,99.97%,99.86%,1.04,3.3,3.5,Q2,Q2,38/125,0.655,"3,681",6.9,6.8,SCIE,0.088,0.8,76.40,Q1,30/125,OPT EXPRESS,67.6,Q2,41/125,2.9,19.808,Optica Publishing Group,"3,680","143,376"
OPTICS LETTERS,OPTICS LETTERS,0146-9592,1539-4794,2024,3.3,OPTICS,OPTICS_JCR_JournalResults_02_2026.csv,100%,2.59%,1.04,3.3,3.2,Q2,Q2,37/125,0.667,"1,509",8.7,6.2,SCIE,0.042,1,76.40,Q1,30/125,OPT LETT,67.6,Q2,41/125,3,9.411,Optica Publishing Group,"1,509","76,109"
Pacific Asia Journal of the Association for Information Systems,PACIFIC ASIA JOURNAL OF THE ASSOCIATION FOR INFORMATION SYSTEMS,1943-7536,1943-7544,2024,3.3,INFORMATION SCIENCE & LIBRARY SCIENCE,INFORMATION SCIENCE & LIBRARY SCIENCE_JCR_JournalResults_02_2026.csv,84.21%,1.59%,0.63,3.3,2.7,Q2,Q3,80/159,0.315,19,4.4,7.5,ESCI,0,0.2,64.16,Q2,60/166,PAC ASIA J ASSOC INF,78.6,Q1,36/166,2.2,0.052,ASSOC INFORMATION SYSTEMS,16,375
PATTERN RECOGNITION LETTERS,PATTERN RECOGNITION LETTERS,0167-8655,1872-7344,2024,3.3,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE_JCR_JournalResults_02_2026.csv",99.66%,13.23%,0.68,3.3,4,Q2,Q2,74/202,0.826,297,7.1,5,SCIE,0.012,0.7,57.60,Q2,87/204,PATTERN RECOGN LETT,54.7,Q2,93/204,2.9,2.639,ELSEVIER,296,"16,356"
PLASMA SOURCES SCIENCE & TECHNOLOGY,PLASMA SOURCES SCIENCE AND TECHNOLOGY,0963-0252,1361-6595,2024,3.3,"PHYSICS, FLUIDS & PLASMAS","PHYSICS, FLUIDS & PLASMAS_JCR_JournalResults_02_2026.csv",99.07%,49.6%,1.07,3.3,3.4,Q1,Q2,18/39,0.584,215,7.7,11.5,SCIE,0.006,0.6,84.15,Q1,7/41,PLASMA SOURCES SCI T,84.1,Q1,7/41,2.6,1.405,IOP Publishing Ltd,213,"12,318"
Proceedings of the VLDB Endowment,PROCEEDINGS OF THE VLDB ENDOWMENT,2150-8097,2150-8097,2024,3.3,"COMPUTER SCIENCE, INFORMATION SYSTEMS | COMPUTER SCIENCE, THEORY & METHODS","COMPUTER SCIENCE, INFORMATION SYSTEMS_JCR_JournalResults_02_2026.csv;COMPUTER SCIENCE, THEORY & METHODS_JCR_JournalResults_02_2026.csv",100%,0.09%,0.81,3.3,4,Q1 | Q2,Q1 | Q2,36/146 | 66/249,0.928,365,5.3,5.7,SCIE,0.012,0.3,60.66 | 69.73,Q2,102/258 | 45/147,PROC VLDB ENDOW,59.1 | 73.1,Q2,106/258 | 40/147,2.5,2.605,ASSOC COMPUTING MACHINERY,365,"11,647"
RADIATION PHYSICS AND CHEMISTRY,RADIATION PHYSICS AND CHEMISTRY,0969-806X,1879-0895,2024,3.3,"CHEMISTRY, PHYSICAL | NUCLEAR SCIENCE & TECHNOLOGY | PHYSICS, ATOMIC, MOLECULAR & CHEMICAL","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;NUCLEAR SCIENCE & TECHNOLOGY_JCR_JournalResults_02_2026.csv;PHYSICS, ATOMIC, MOLECULAR & CHEMICAL_JCR_JournalResults_02_2026.csv",98.99%,6.4%,0.96,3.3,3,Q1 | Q2 | Q3,Q2 | Q3,11/39 | 120/185 | 20/40,0.427,789,4.8,7.4,SCIE,0.01,1,73.78 | 81.71 | 86.25,Q1 | Q2,49/185 | 6/40 | 8/41,RADIAT PHYS CHEM,51.1 | 78.2 | 93.9,Q1 | Q2,3/41 | 9/39 | 91/185,2.8,2.226,PERGAMON-ELSEVIER SCIENCE LTD,781,"16,713"
REQUIREMENTS ENGINEERING,REQUIREMENTS ENGINEERING,0947-3602,1432-010X,2024,3.3,"COMPUTER SCIENCE, INFORMATION SYSTEMS | COMPUTER SCIENCE, SOFTWARE ENGINEERING","COMPUTER SCIENCE, INFORMATION SYSTEMS_JCR_JournalResults_02_2026.csv;COMPUTER SCIENCE, SOFTWARE ENGINEERING_JCR_JournalResults_02_2026.csv",100%,53.33%,0.73,3.3,3.3,Q2,Q3,145/249 | 82/129,0.443,23,8,8,SCIE,0,0.9,56.78 | 58.53,Q2,112/258 | 54/129,REQUIR ENG,59.1 | 71.7,Q2,106/258 | 37/129,2.9,0.087,SPRINGER,23,"1,025"
Robotics,ROBOTICS,,2218-6581,2024,3.3,ROBOTICS,ROBOTICS_JCR_JournalResults_02_2026.csv,91.67%,100%,0.71,3.3,3.8,Q2,Q3,26/47,0.671,180,3.6,5.7,ESCI,0.003,0.8,53.13,Q2,23/48,ROBOTICS,57.3,Q2,21/48,3.1,0.782,MDPI,165,"3,273"
Silicon,SILICON,1876-990X,1876-9918,2024,3.3,"CHEMISTRY, PHYSICAL | MATERIALS SCIENCE, MULTIDISCIPLINARY","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",95.97%,3.25%,0.5,3.3,3.1,Q3,Q3,131/185 | 301/455,0.388,372,3.4,6.1,SCIE,0.009,1.3,43.74 | 44.05,Q3,104/185 | 261/463,SILICON-NETH,50.9 | 51.1,Q2,227/461 | 91/185,3,2.044,SPRINGER,357,"11,100"
SOLID STATE IONICS,SOLID STATE IONICS,0167-2738,1872-7689,2024,3.3,"CHEMISTRY, PHYSICAL | PHYSICS, CONDENSED MATTER","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;PHYSICS, CONDENSED MATTER_JCR_JournalResults_02_2026.csv",100%,7.68%,0.49,3.3,3.2,Q2 | Q3,Q2 | Q3,105/185 | 36/79,0.516,214,16.8,6.3,SCIE,0.005,0.9,41.89 | 55.63,Q2 | Q3,108/185 | 36/80,SOLID STATE IONICS,51.1 | 61.9,Q2,31/80 | 91/185,3.2,1.013,ELSEVIER,214,"22,800"
SOLID STATE SCIENCES,SOLID STATE SCIENCES,1293-2558,1873-3085,2024,3.3,"CHEMISTRY, INORGANIC & NUCLEAR | CHEMISTRY, PHYSICAL | PHYSICS, CONDENSED MATTER","CHEMISTRY, INORGANIC & NUCLEAR_JCR_JournalResults_02_2026.csv;CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;PHYSICS, CONDENSED MATTER_JCR_JournalResults_02_2026.csv",99.27%,4.48%,0.71,3.3,3.3,Q2 | Q3,Q2 | Q3,112/185 | 15/44 | 39/79,0.461,275,7.3,6.7,SCIE,0.004,1.2,57.95 | 63.51 | 70.63,Q2,19/44 | 24/80 | 68/185,SOLID STATE SCI,51.1 | 61.9 | 77.9,Q1 | Q2,10/43 | 31/80 | 91/185,3.2,0.935,ELSEVIER,273,"9,227"
Sustainability,SUSTAINABILITY,,2071-1050,2024,3.3,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY_JCR_JournalResults_02_2026.csv,90.92%,99.99%,0.67,3.3,3.6,Q3,Q3,74/99,0.538,"11,214",3.4,5.7,"SCIE, SSCI",0.278,0.9,44.17,Q3,58/103,SUSTAINABILITY-BASEL,35.4,Q3,67/103,2.9,62.237,MDPI,"10,196","283,527"
TRIBOLOGY LETTERS,TRIBOLOGY LETTERS,1023-8883,1573-2711,2024,3.3,"ENGINEERING, CHEMICAL","ENGINEERING, CHEMICAL_JCR_JournalResults_02_2026.csv",100%,33.16%,0.65,3.3,3.3,Q2,Q2,78/174,0.529,131,9.7,9,SCIE,0.003,0.9,65.63,Q2,61/176,TRIBOL LETT,54.8,Q2,80/176,3,0.616,SPRINGER/PLENUM PUBLISHERS,131,"7,914"
Water Reuse,WATER REUSE,2709-6092,2709-6106,2024,3.3,"ENGINEERING, ENVIRONMENTAL","ENGINEERING, ENVIRONMENTAL_JCR_JournalResults_02_2026.csv",83.72%,99.1%,0.65,3.3,3.6,Q3,Q3,49/81,0.529,43,2.9,6,SCIE,0.001,0.4,52.41,Q2,40/83,WATER REUSE,42.8,Q3,48/83,3.1,0.114,IWA PUBLISHING,36,465
WIND ENERGY,WIND ENERGY,1095-4244,1099-1824,2024,3.3,ENERGY & FUELS,ENERGY & FUELS_JCR_JournalResults_02_2026.csv,100%,97.58%,0.67,3.3,4.1,Q3,Q2,85/173,0.85,58,8.3,7.5,SCIE,0.004,1.1,48.08,Q3,95/182,WIND ENERGY,39.3,Q3,111/182,3.1,0.81,WILEY,58,"6,533"
ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,ACM TRANSACTIONS ON MATHEMATICAL SOFTWARE,0098-3500,1557-7295,2024,3.2,"COMPUTER SCIENCE, SOFTWARE ENGINEERING","COMPUTER SCIENCE, SOFTWARE ENGINEERING_JCR_JournalResults_02_2026.csv",100%,11.21%,1.35,3.2,3.3,Q2,Q1,11/129,1.495,29,19.3,11.3,SCIE,0.002,0.4,85.66,Q1,19/129,ACM T MATH SOFTWARE,70.2,Q2,39/129,3.1,0.552,ASSOC COMPUTING MACHINERY,29,"5,149"
ADSORPTION SCIENCE & TECHNOLOGY,ADSORPTION SCIENCE AND TECHNOLOGY,0263-6174,2048-4038,2024,3.2,"CHEMISTRY, APPLIED | CHEMISTRY, PHYSICAL | ENGINEERING, CHEMICAL","CHEMISTRY, APPLIED_JCR_JournalResults_02_2026.csv;CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv;ENGINEERING, CHEMICAL_JCR_JournalResults_02_2026.csv",100%,100%,0.51,3.2,3.4,Q2,Q2 | Q3,125/185 | 31/76 | 92/174,0.418,24,6.1,5.9,SCIE,0.001,0.3,45.68 | 51.99 | 56.49,Q2 | Q3,101/185 | 34/77 | 85/176,ADSORPT SCI TECHNOL,48.9 | 54.3 | 63.8,Q2 | Q3,28/76 | 81/176 | 95/185,3.2,0.318,SAGE PUBLICATIONS INC,24,"3,011"
Advances in Nano Research,ADVANCES IN NANO RESEARCH,2287-237X,2287-2388,2024,3.2,"MATERIALS SCIENCE, MULTIDISCIPLINARY | NANOSCIENCE & NANOTECHNOLOGY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;NANOSCIENCE & NANOTECHNOLOGY_JCR_JournalResults_02_2026.csv",98.95%,0%,0.62,3.2,3.6,Q2 | Q3,Q3,110/147 | 309/455,0.361,95,3.4,5.1,SCIE,0.001,1,52.72 | 54.32,Q2,212/463 | 70/147,ADV NANO RES,40.5 | 48.7,Q3,237/461 | 88/147,2.3,0.239,TECHNO-PRESS,94,"1,670"
AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,AEU-INTERNATIONAL JOURNAL OF ELECTRONICS AND COMMUNICATIONS,1434-8411,1618-0399,2024,3.2,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",98.41%,4.76%,0.73,3.2,2.8,Q2,Q3,218/359,0.388,439,4.2,5,SCIE,0.006,0.9,61.01,Q2,144/368,AEU-INT J ELECTRON C,61.3,Q2,143/368,2.5,1.344,ELSEVIER GMBH,432,"8,271"
AI MAGAZINE,AI MAGAZINE,0738-4602,2371-9621,2024,3.2,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE","COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE_JCR_JournalResults_02_2026.csv",100%,89.06%,0.39,3.2,3.8,Q2,Q2,67/202,0.987,56,15,4.2,SCIE,0.001,0.6,30.15,Q3,143/204,AI MAG,54.2,Q2,94/204,3.2,0.312,AMER ASSOC ARTIFICIAL INTELL,56,"3,157"
Applied Computing and Geosciences,APPLIED COMPUTING AND GEOSCIENCES,2590-1974,2590-1974,2024,3.2,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS_JCR_JournalResults_02_2026.csv",100%,99.03%,0.67,3.2,3.6,Q2,Q2,66/172,0.824,56,2.9,6.3,ESCI,0.001,0.8,47.74,Q3,93/177,APPL COMPUT GEOSCI,56.2,Q2,78/177,3,0.136,ELSEVIER,56,375
APSIPA Transactions on Signal and Information Processing,APSIPA TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING,2048-7703,2048-7703,2024,3.2,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",100%,94.34%,0.55,3.2,3.9,Q2,Q2,114/359,0.9,61,4.3,4.8,ESCI,0.001,0.3,52.85,Q2,174/368,APSIPA TRANS SIGNAL,61.3,Q2,143/368,2.9,0.277,NOW PUBLISHERS INC,61,850
Biomedical Optics Express,BIOMEDICAL OPTICS EXPRESS,2156-7085,2156-7085,2024,3.2,OPTICS,OPTICS_JCR_JournalResults_02_2026.csv,99.78%,99.63%,0.97,3.2,3.3,Q2,Q2,36/125,0.71,461,5.8,7.2,SCIE,0.013,1,71.60,Q2,36/125,BIOMED OPT EXPRESS,66.0,Q2,43/125,2.7,2.971,Optica Publishing Group,460,"15,794"
BioNanoScience,BIONANOSCIENCE,2191-1630,2191-1649,2024,3.2,"MATERIALS SCIENCE, BIOMATERIALS","MATERIALS SCIENCE, BIOMATERIALS_JCR_JournalResults_02_2026.csv",80.63%,3.6%,0.53,3.2,3.5,Q3,Q4,44/54,0.411,315,3.6,5.6,ESCI,0.002,1.2,31.82,Q3,38/55,BIONANOSCIENCE,35.5,Q3,36/55,3.1,0.504,SPRINGER,254,"3,529"
CHAOS,CHAOS,1054-1500,1089-7682,2024,3.2,"PHYSICS, MATHEMATICAL","PHYSICS, MATHEMATICAL_JCR_JournalResults_02_2026.csv",97.51%,12.02%,1.42,3.2,2.9,Q1,Q2,29/61,0.691,642,5.4,10.5,SCIE,0.014,1,92.62,Q1,5/61,CHAOS,92.6,Q1,5/61,2.5,3.21,AIP Publishing,626,"15,021"
Colloids and Interfaces,COLLOIDS AND INTERFACES,,2504-5377,2024,3.2,"CHEMISTRY, PHYSICAL","CHEMISTRY, PHYSICAL_JCR_JournalResults_02_2026.csv",95.52%,100%,0.34,3.2,3,Q3,Q3,116/185,0.429,67,3.8,8.7,ESCI,0.001,0.6,20.81,Q4,147/185,COLLOID INTERFAC,48.9,Q3,95/185,3.2,0.241,MDPI,64,"1,211"
Computational Urban Science,COMPUTATIONAL URBAN SCIENCE,,2730-6852,2024,3.2,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS","COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS_JCR_JournalResults_02_2026.csv",89.58%,100%,0.59,3.2,3.5,Q2,Q3,88/172,0.648,48,2.5,5.5,ESCI,0.001,0.6,42.09,Q3,103/177,COMPUT URBAN SCI,56.2,Q2,78/177,3.1,0.127,SPRINGERNATURE,43,417
CORROSION REVIEWS,CORROSION REVIEWS,0334-6005,2191-0316,2024,3.2,"ELECTROCHEMISTRY | MATERIALS SCIENCE, COATINGS & FILMS | METALLURGY & METALLURGICAL ENGINEERING","ELECTROCHEMISTRY_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, COATINGS & FILMS_JCR_JournalResults_02_2026.csv;METALLURGY & METALLURGICAL ENGINEERING_JCR_JournalResults_02_2026.csv",59.09%,15.89%,0.35,3.2,4.2,Q1 | Q2,Q1 | Q2,19/94 | 20/44 | 7/23,0.656,66,5.8,8.2,SCIE,0.001,0.6,32.95 | 35.42 | 50.00,Q3,16/24 | 30/44 | 49/97,CORROS REV,51.1 | 56.3 | 74.7,Q2,11/24 | 22/44 | 25/97,3,0.231,WALTER DE GRUYTER GMBH,39,"1,666"
Energies,ENERGIES,,1996-1073,2024,3.2,ENERGY & FUELS,ENERGY & FUELS_JCR_JournalResults_02_2026.csv,88.02%,99.99%,0.45,3.2,3.1,Q3,Q3,121/173,0.471,"6,421",3.4,5.5,SCIE,0.139,0.9,33.79,Q3,121/182,ENERGIES,38.7,Q3,112/182,2.8,31.124,MDPI,"5,652","142,075"
Environmental Research: Infrastructure and Sustainability,ENVIRONMENTAL RESEARCH INFRASTRUCTURE AND SUSTAINABILITY,,2634-4505,2024,3.2,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY,GREEN & SUSTAINABLE SCIENCE & TECHNOLOGY_JCR_JournalResults_02_2026.csv,88.33%,100%,0.52,3.2,3.2,Q3,Q3,54/99,0.75,60,2.3,5.3,ESCI,0.001,0.9,34.47,Q3,68/103,ENVIRON RES-INFRASTR,34.5,Q3,68/103,2.8,0.192,IOP Publishing Ltd,53,518
Environmental Science-Water Research & Technology,ENVIRONMENTAL SCIENCE-WATER RESEARCH AND TECHNOLOGY,2053-1400,2053-1419,2024,3.2,"ENGINEERING, ENVIRONMENTAL","ENGINEERING, ENVIRONMENTAL_JCR_JournalResults_02_2026.csv",89.96%,19.24%,0.58,3.2,4.3,Q2,Q2,32/81,0.881,229,4.6,6.2,SCIE,0.008,0.6,50.00,Q3,42/83,ENVIRON SCI-WAT RES,41.6,Q3,49/83,3.1,1.768,ROYAL SOC CHEMISTRY,206,"6,842"
FATIGUE & FRACTURE OF ENGINEERING MATERIALS & STRUCTURES,FATIGUE AND FRACTURE OF ENGINEERING MATERIALS AND STRUCTURES,8756-758X,1460-2695,2024,3.2,"MATERIALS SCIENCE, MULTIDISCIPLINARY","MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv",97.44%,18.96%,0.68,3.2,3.2,Q3,Q2,220/455,0.587,313,6.3,7.4,SCIE,0.006,0.6,57.78,Q2,196/463,FATIGUE FRACT ENG M,48.7,Q3,237/461,2.7,1.275,WILEY,305,"8,443"
Flexible and Printed Electronics,FLEXIBLE AND PRINTED ELECTRONICS,2058-8585,2058-8585,2024,3.2,"ENGINEERING, ELECTRICAL & ELECTRONIC | MATERIALS SCIENCE, MULTIDISCIPLINARY | PHYSICS, APPLIED","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv;MATERIALS SCIENCE, MULTIDISCIPLINARY_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",91.04%,57.69%,0.54,3.2,3.2,Q2 | Q3,Q2 | Q3,164/359 | 237/455 | 75/187,0.557,67,3.5,6.2,SCIE,0.002,0.6,48.27 | 50.68 | 53.74,Q2 | Q3,182/368 | 240/463 | 87/187,FLEX PRINT ELECTRON,48.7 | 61.3 | 62.3,Q2 | Q3,143/368 | 237/461 | 71/187,3.1,0.368,IOP Publishing Ltd,61,"1,545"
Flexible Services and Manufacturing Journal,FLEXIBLE SERVICES AND MANUFACTURING JOURNAL,1936-6582,1936-6590,2024,3.2,"ENGINEERING, MANUFACTURING","ENGINEERING, MANUFACTURING_JCR_JournalResults_02_2026.csv",100%,35.92%,0.55,3.2,2.9,Q3,Q2,31/67,0.576,59,4.9,6.1,SCIE,0.001,0.4,45.77,Q3,39/71,FLEX SERV MANUF J,51.4,Q2,35/71,2.9,0.213,SPRINGER,59,"1,099"
IEEE Electrification Magazine,IEEE ELECTRIFICATION MAGAZINE,2325-5897,2325-5889,2024,3.2,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",100%,0%,0.66,3.2,3.5,Q2,Q2,115/359,0.899,44,5.6,3.6,ESCI,0.001,0.6,57.47,Q2,157/368,IEEE ELECTRIF MAG,61.3,Q2,143/368,3.2,0.238,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,44,"1,006"
IEEE Journal of Electromagnetics RF and Microwaves in Medicine and Biology,IEEE JOURNAL OF ELECTROMAGNETICS RF AND MICROWAVES IN MEDICINE AND BIOLOGY,2469-7249,2469-7257,2024,3.2,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",100%,10.56%,0.74,3.2,3.3,Q2,Q2,150/359,0.643,70,3.5,7,ESCI,0.001,0.4,61.82,Q2,141/368,IEEE J ELECTROMAG RF,61.3,Q2,143/368,2.7,0.283,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,70,997
IEEE Open Access Journal of Power and Energy,IEEE OPEN ACCESS JOURNAL OF POWER AND ENERGY,,2687-7910,2024,3.2,"ENERGY & FUELS | ENGINEERING, ELECTRICAL & ELECTRONIC","ENERGY & FUELS_JCR_JournalResults_02_2026.csv;ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",100%,100%,0.55,3.2,4,Q2 | Q3,Q1 | Q2,56/173 | 88/359,1.081,56,3.2,5.6,ESCI,0.002,0.6,41.48 | 52.85,Q2 | Q3,107/182 | 174/368,IEEE OP AC J POW ENE,38.7 | 61.3,Q2 | Q3,112/182 | 143/368,3,0.374,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,56,826
IEEE Open Journal of the Solid-State Circuits Society,IEEE OPEN JOURNAL OF THE SOLID-STATE CIRCUITS SOCIETY,,2644-1349,2024,3.2,"ENGINEERING, ELECTRICAL & ELECTRONIC","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv",96.43%,98.55%,0.7,3.2,3.9,Q2,Q1,88/359,1.081,28,2.8,5.2,ESCI,0.001,0.5,59.92,Q2,148/368,IEEE OPEN J SOLID-ST,61.3,Q2,143/368,3.1,0.118,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,27,256
IEEE TRANSACTIONS ON ELECTRON DEVICES,IEEE TRANSACTIONS ON ELECTRON DEVICES,0018-9383,1557-9646,2024,3.2,"ENGINEERING, ELECTRICAL & ELECTRONIC | PHYSICS, APPLIED","ENGINEERING, ELECTRICAL & ELECTRONIC_JCR_JournalResults_02_2026.csv;PHYSICS, APPLIED_JCR_JournalResults_02_2026.csv",100%,3.63%,0.69,3.2,3.3,Q2,Q2,156/359 | 71/187,0.589,"1,123",6.6,6.3,SCIE,0.023,0.6,59.65 | 65.51,Q2,149/368 | 65/187,IEEE T ELECTRON DEV,61.3 | 62.3,Q2,143/368 | 71/187,2.7,5.196,IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC,"1,123","36,717"
