title,year,journal,impact_factor,molecule_name,molecule_cid,molecule_smiles,molecule_type,functional_groups,role,interface_location,pce_max,voc,jsc,ff,perovskite_type,stability
Bisphosphate group molecules contribute to the performance of wide-bandgap perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"1,4-benzenebisphosphonic acid (BBA)",2773663,,buried-interface passivation agent,bis-phosphonic acid groups,"passivate defects, suppress non-radiative recombination, inhibit ion migration, and reduce interface trap formation",between the NiOx/Me-4PACz hole-transport layer and the perovskite absorber,21.79,1.195,,,1.66 eV band-gap,efficiency_retention: 92 % (Unencapsulated cells after 1973 h under nitrogen); trap_density_initial: 3370000000000000.0 cm-3 (None); trap_density_final: 2900000000000000.0 cm-3 (None); carrier_lifetime_initial: 794.2 ns (None); carrier_lifetime_final: 1762 ns (None)
Bisphosphate group molecules contribute to the performance of wide-bandgap perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,Me-4PACz,164186534,,hole-transport layer,,part of the NiOx/Me-4PACz hole-transport layer,between the NiOx/Me-4PACz hole-transport layer and the perovskite absorber,21.79,1.195,,,1.66 eV band-gap,efficiency_retention: 92 % (Unencapsulated cells after 1973 h under nitrogen); trap_density_initial: 3370000000000000.0 cm-3 (None); trap_density_final: 2900000000000000.0 cm-3 (None); carrier_lifetime_initial: 794.2 ns (None); carrier_lifetime_final: 1762 ns (None)
"Boosting inverted perovskite solar cell performance by using 9,9-bis(4-diphenylaminophenyl)fluorene functionalized with triphenylamine as a dopant-free hole transporting material",,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"TPA-2,7-FLTPA-TPA",,,small molecules,"9,9-bis(4-diphenylaminophenyl)fluorene; triphenylamine moieties",dopant-free hole transporting material (HTM),in planar inverted perovskite solar cell devices,17.1,,,,,stability: None None (similar aging test conditions)
"Boosting inverted perovskite solar cell performance by using 9,9-bis(4-diphenylaminophenyl)fluorene functionalized with triphenylamine as a dopant-free hole transporting material",,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"TPA-3,6-FLTPA-TPA",,,small molecules,"9,9-bis(4-diphenylaminophenyl)fluorene; triphenylamine moieties",dopant-free hole transporting material (HTM),in planar inverted perovskite solar cell devices,17.1,,,,,stability: None None (similar aging test conditions)
"Boosting inverted perovskite solar cell performance by using 9,9-bis(4-diphenylaminophenyl)fluorene functionalized with triphenylamine as a dopant-free hole transporting material",,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"N-4,N-4,N-4,N-4-tetra([1,10-biphenyl]-4-yl)-[1,1:4,1-terphenyl]-4,4-diamine (TaTm)",,,,,reference HTM,in planar inverted perovskite solar cell devices,17.1,,,,,stability: None None (similar aging test conditions)
Boosting the performance of MA-free inverted perovskite solar cells via multifunctional ion liquid,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,NDAPBF(4),,,ion liquid,pyridine cation; BF4- anion,introduced to improve the performance of MA-free PSCs; served as an n-type dopant and boosted the electron transportation in the perovskite films,interface between the perovskite and the electron transporting layer,21.25,,,,Cs(0.05)FA(0.95)PbI(3),efficiency retention: 95 % (aged for 1000 h under room temperature); efficiency retention: 94 % (aged for 500 h under elevated temperature at 85 degrees C)
CH3NH3+ and Pb immobilization through PbI2 binding by organic molecule doping for homogeneous organometal halide perovskite films,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,PCBM,53384373,,organic molecule,,doping,PbI2,,,,,CH3NH3PbI3,photoexcited carrier lifetime: five-fold increase (>1 mu s) mu s (None)
Can chelatogenic molecules enhance the stability of air-processed MAPbI3 perovskite solar cells? A case study of salophen,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"N,N '-bis(salicylidene)-o-phenylenediamin (salophen)",,,a Schiff base (chelatogenic molecule),,modification/passivation agent for the perovskite layer,on the top of the MAPbI3 films; spin-coated onto MAPbI3 during the antisolvent step,,,,,methylammonium lead iodide perovskite (MAPbI3),stability: None None (None)
Can chelatogenic molecules enhance the stability of air-processed MAPbI3 perovskite solar cells? A case study of salophen,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,ethyl acetate,8857,,solvent,,solvent used to dissolve salophen for spin-coating,,,,,,methylammonium lead iodide perovskite (MAPbI3),stability: None None (None)
Carrier transport composites with suppressed glass-transition for stable planar perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,spiro-OMeTAD,16161850,,,,small molecule transport material,,23.3,,,,Planar n-i-p structure PSCs,efficiency retention: 90 % (below 85 degrees C for 1000 h); SPO retention: 92 % (after tracking for 560 h at room temperature without cooling)
Compositional and interfacial engineering for improved light stability of flexible wide-bandgap perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,lead thiocyanate (Pb(SCN)2),,,perovskite precursor additive,thiocyanate,added to perovskite precursor solution,perovskite precursor solution,22.5,,,,mixed halide wide-bandgap (WBG) perovskite (Eg = 1.76 eV),T85: 1200 hours (light-soak aging test of a flexible WBG perovskite solar cell (PSC) at 65 degrees C (illumination with LED light of 600 mW cm-2))
Compositional and interfacial engineering for improved light stability of flexible wide-bandgap perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,4-fluoro-phenethylammonium iodide (4FPEAI),146680211,,perovskite precursor additive,fluoro; phenethylammonium; iodide,added to perovskite precursor solution,perovskite precursor solution,22.5,,,,mixed halide wide-bandgap (WBG) perovskite (Eg = 1.76 eV),T85: 1200 hours (light-soak aging test of a flexible WBG perovskite solar cell (PSC) at 65 degrees C (illumination with LED light of 600 mW cm-2))
Compositional and interfacial engineering for improved light stability of flexible wide-bandgap perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"4-((5H-diindolo[3,2-a:3 ',2 '-c]carbazole-5,10,15-triyl)tris(butane-4,1-diyl))tris(phosphonic acid) (TRIPOD-C4)",,,carbazole-based self-assembling molecule,carbazole; phosphonic acid,incorporated as a hole-transporting layer,hole-transporting layer; surface packing with the p-type material,22.5,,,,mixed halide wide-bandgap (WBG) perovskite (Eg = 1.76 eV),T85: 1200 hours (light-soak aging test of a flexible WBG perovskite solar cell (PSC) at 65 degrees C (illumination with LED light of 600 mW cm-2))
Compositional optimization of a 2D-3D heterojunction interface for 22.6% efficient and stable planar perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,isopentylammonium iodide (PNAI),21541,,large organic ammonium salt,,residual PNAI molecules on 3D perovskites; component of multi-component capping layer,on 3D perovskites,22.62,1.16,,,2D-3D perovskite heterojunction,PCE retention: 89 % (unencapsulated PNAI-90 treated device stored under a relative humidity of 30 +/- 5% for 1000 h)
Comprehensive interface engineering based on target anchoring agents for efficient and stable inverted perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,poly(triarylamine) (PTAA),,,hole transport material (HTM),triarylamine,hole transport material (HTM),buried,22.56,,,,,moisture resistance: None None (None); thermal stability: None None (None); stability under continuous light illumination: None None (None)
Comprehensive interface engineering based on target anchoring agents for efficient and stable inverted perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"4,4 ',4 ''-tris(3-methyl phenyl phenylamino)triphenylamine (m-MTDATA)",,,amine molecule,amine,target modification to enhance the wettability of PTAA; aligns the energy levels of HTMs,PTAA/perovskite interface,22.56,,,,,moisture resistance: None None (None); thermal stability: None None (None); stability under continuous light illumination: None None (None)
Comprehensive interface engineering based on target anchoring agents for efficient and stable inverted perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,phenyl ammonium bromide (PhABr),,,,phenyl; ammonium; bromide,deposited onto the perovskite surface to remove excessive residual PbI2 and reduce uncoordinated Pb2+ and iodide vacancies,perovskite surface,22.56,,,,,moisture resistance: None None (None); thermal stability: None None (None); stability under continuous light illumination: None None (None)
Constructing water-resistant CH3NH3PbI3 perovskite films via coordination interaction,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,2-Aminoethanethiol (2-AET),6058,,ligand,,ligand to bridge the organic compound (MAI) and inorganic compound (PbI2),(PbI2)-2-AET-(MAI) molecule barrier layers in the MAPbI(3) structure,,,,,CH3NH3PbI3 (MAPbI(3)),intrinsic water-resistance: >10 minutes minutes (after immersion in water)
Constructing water-resistant CH3NH3PbI3 perovskite films via coordination interaction,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,MAI,,,organic compound,,organic compound (MAI),(PbI2)-2-AET-(MAI) molecule barrier layers in the MAPbI(3) structure,,,,,CH3NH3PbI3 (MAPbI(3)),intrinsic water-resistance: >10 minutes minutes (after immersion in water)
Controlled crystal orientation and reduced lattice distortion with a cystamine dihydrochloride spacer for efficient and stable 2D/3D perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,cystamine dihydrochloride (CysCl),5941,,organic spacer diamine molecule,diamine,has been introduced to construct DJ 2D/3D perovskites,,24.54,,,,mixed two-dimensional (2D) and three-dimensional (3D) perovskites,"retained efficiency: 86 % (after 1400 hours of continuous exposure to AM 1.5G light under ambient air conditions (25 +/- 5 degrees C and 50 +/- 5% relative humidity)); degradation: None None (after 675 hours under combined thermal and light stress, meeting the ISOS-L-2 standard)"
Cost-effective hole transporting material for stable and efficient perovskite solar cells with fill factors up to 82%,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"4,4',4 ''-(7,7',7 ''-(5,5,10,10,15,15-hexahexyl-10,15-dihydro-5H-diindeno[1,2-a: 1',2'-c] fluorene-2,7,12-triyl) tris(2,3-dihydrothieno[3,4-b][1,4] dioxine7,5- diyl)) tris(N, N-bis(4-methoxyphenyl) aniline) (TRUX-E-T)",,,small molecule-based hole selective material (HSM),"5,5,10,10,15,15-hexahexyl; N, N-bis(4-methoxyphenyl) aniline; thieno[3,4-b][1,4] dioxine",hole selective material (HSM),deposited onto perovskite layers,18.35,,,82,lead iodide perovskite,"efficiency retention: 96.4 % (un-encapsulated cells, ambient air, 20 days of storage)"
Cost-effective hole transporting material for stable and efficient perovskite solar cells with fill factors up to 82%,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"2,2',7,7'-tetrakis (N, N-di-p-methoxyphenylamino)- 9,9'-spirobifluorene (spiro-OMeTAD)",,,,"N, N-di-p-methoxyphenylamino",HSL used in PVSCs (comparator),HSL used in PVSCs,18.35,,,82,lead iodide perovskite,"efficiency retention: 96.4 % (un-encapsulated cells, ambient air, 20 days of storage)"
Cyclen molecule manipulation for efficient and stable perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"1,4,7,10-tetraazacyclododecane (cyclen)",64963,,novel ring molecule,,introduced to manipulate high-quality film fabrication,,24.71,,,,,PCE retention: 90 % (over 1600 h at 85 degrees C in an N2 atmosphere without encapsulation)
Cyclen molecule manipulation for efficient and stable perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,cyclen-PbI2-DMSO,,,key intermediate,,"retarded the crystallization process, promoted the carrier lifetime, and decreased non-radiative recombination",,24.71,,,,,PCE retention: 90 % (over 1600 h at 85 degrees C in an N2 atmosphere without encapsulation)
Cyclen molecule manipulation for efficient and stable perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,DMSO,679,,,,,,24.71,,,,,PCE retention: 90 % (over 1600 h at 85 degrees C in an N2 atmosphere without encapsulation)
Cyclopenta[hi]aceanthrylene-based dopant-free hole-transport material for organic-inorganic hybrid and all-inorganic perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,YN3,171392445,,cyclopenta[hi]aceanthrylene-based dopant-free D-A-D type hole transport material (HTM),,hole transport material (HTM),,18.84,,,,organic-inorganic hybrid and all-inorganic,long-term stability: None None (without encapsulation)
D-A-π-A organic sensitizer surface passivation for efficient and stable perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,MM-3,,,D-A-pi-A-type organic sensitizer,quinoxaline moiety,enhance light harvesting and reduce the trap states of perovskite films,perovskite films,20.31,1.08,,,Organic-inorganic hybrid lead perovskite films,PCE retention: 92 % (under 15 +/- 5% relative humidity after 70 days); PCE retention: 77 % (under 50-60% relative humidity after 550 h)
D-A-π-A organic sensitizer surface passivation for efficient and stable perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,MM-4,,,D-A-pi-A-type organic sensitizer,quinoxaline moiety; thiophene pi-bridging moiety; terminal carboxyl group; long alkyl chains,"facilitate electron transfer, enrich electron density on the terminal carboxyl group, coordinate with undercoordinated Pb2+, reduce trap states and suppress non-radiative recombination; enhance hydrophobicity and improve stability",perovskite films,20.31,1.08,,,Organic-inorganic hybrid lead perovskite films,PCE retention: 92 % (under 15 +/- 5% relative humidity after 70 days); PCE retention: 77 % (under 50-60% relative humidity after 550 h)
Defect management and crystallization regulation for high-efficiency carbon-based printable mesoscopic perovskite solar cells via a single organic small molecule,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,dicyandiamide (DCDA),,,organic small molecule,-C 00000000 00000000 00000000 00000000 11111111 00000000 11111111 00000000 00000000 00000000 N; -CN; -NH2 groups,incorporated into the perovskite precursor solution to concurrently regulate crystallization and manage defects in the perovskite in the mesoporous scaffold,in the perovskite in the mesoporous scaffold,19.12,,,,carbon-based printable mesoscopic perovskite solar cells (MPSCs),PCE retention: 94.0 % (unpackaged MPSC devices stored in an air environment after 103 days)
Defect mitigation via fullerene-based functional additives for enhanced efficiency and stability in tin perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,F-OSO3H,,,fullerene-based multifunctional molecule,#NAME?,additive,,11.22,,,,Tin-based perovskite solar cells (Sn-PSCs),stability: None None (None)
Defect passivation by alcohol-soluble small molecules for efficient p-i-n planar perovskite solar cells with high open-circuit voltage,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"2,5-di(thiophen-2-yl)terephthalic acid (DTA)",58435023,,pi-conjugated and alcohol-soluble small molecule with bilateral carboxyl and thiophene groups,carboxyl; thiophene,introduced into the MAPbI(3-x)Cl(x) (MA = CH3NH3) film to passivate the defects and enhance the performance of the corresponding planar p-i-n Pero-SCs,in the MAPbI(3-x)Cl(x) film,21.45,1.19,,,MAPbI(3-x)Cl(x) (MA = CH3NH3),environmental stability: None None (None); thermal stability: None None (None)
Dehydration-resistant amino acid additives for stable and efficient perovskite precursor solutions and solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,alpha-glutamic acid (alpha-Glu),33032,,,,additive,precursor solutions and films,25.6,,,,,retained efficiency after thermal annealing: 91 % (2000 hours of thermal annealing); retained efficiency after continuous illumination: 84 % (1200 hours of continuous 1-sun illumination); retained efficiency after precursor solution aging: 98 % (precursor solutions aged for 35 days)
Dehydration-resistant amino acid additives for stable and efficient perovskite precursor solutions and solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,beta-glutamic acid (beta-Glu),73064,,,,additive,,25.6,,,,,retained efficiency after thermal annealing: 91 % (2000 hours of thermal annealing); retained efficiency after continuous illumination: 84 % (1200 hours of continuous 1-sun illumination); retained efficiency after precursor solution aging: 98 % (precursor solutions aged for 35 days)
Design rules for the preparation of low-cost hole transporting materials for perovskite solar cells with moisture barrier properties,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,Diazo-OMeTPA,,,,,HTL in perovskite solar cells,HTL in perovskite solar cells,,,,,,stability of the underlying perovskite film: None None (None)
Design rules for the preparation of low-cost hole transporting materials for perovskite solar cells with moisture barrier properties,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,spiro-OMeTAD,16161850,,,,,,,,,,,stability of the underlying perovskite film: None None (None)
Design rules for the preparation of low-cost hole transporting materials for perovskite solar cells with moisture barrier properties,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,LiTFSI,3816071,,,,added to HTMs causing oxidation,,,,,,,stability of the underlying perovskite film: None None (None)
Dicyclopentadithienothiophene (DCDTT)-based organic semiconductor assisted grain boundary passivation for highly efficient and stable perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,IN-DCDTT (1),,,non-fullerene acceptor (NFA),carbonyl (C=O); cyano (C  N),passivate the trap states; donor passivation agent,perovskite films / device interface,21.39,1.1,23.71,0.82,organic-inorganic hybrid perovskite,PCE retention: 90 % (after 63 days in a glove box); PCE retention (control device): 55 % (after 63 days in a glove box)
Dicyclopentadithienothiophene (DCDTT)-based organic semiconductor assisted grain boundary passivation for highly efficient and stable perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,INCl-DCDTT (2),,,non-fullerene acceptor (NFA),carbonyl (C=O); cyano (C  N),passivate the trap states; facilitates efficient hole extraction; donor passivation agent,active layer / perovskite hybrid films / device interface,21.39,1.1,23.71,0.82,organic-inorganic hybrid perovskite,PCE retention: 90 % (after 63 days in a glove box); PCE retention (control device): 55 % (after 63 days in a glove box)
Dicyclopentadithienothiophene (DCDTT)-based organic semiconductor assisted grain boundary passivation for highly efficient and stable perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,INBr-DCDTT (3),,,non-fullerene acceptor (NFA),carbonyl (C=O); cyano (C  N),passivate the trap states; donor passivation agent,perovskite films / device interface,21.39,1.1,23.71,0.82,organic-inorganic hybrid perovskite,PCE retention: 90 % (after 63 days in a glove box); PCE retention (control device): 55 % (after 63 days in a glove box)
Down-converting ultraviolet light using a conductive passivator to enhance the efficiency and stability of perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"4,4 '-diaminostilbene-2,2 '-disulfonic acid (DSDA)",,,amphoteric DSDA molecule; multifunctional organic compound,,ultraviolet absorbent and conductive passivation agent,SnO2/perovskite interface,25.09,,,,,operational stability: None None (without encapsulation); UV-light stability: None None (without encapsulation); in situ fixation of leaked lead ions: None None (without encapsulation)
Dual passivation and UV shielding by bifunctional UV0 Molecule for high-performance and stable perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"2,4-dihydroxybenzophenone (UV0)",8572,,ultraviolet (UV)-resistant molecule,,additive in perovskite films,perovskite films,24,,,,formamidinium iodide (FAI),stability under continuous illumination: None None (continuous illumination)
Dual-site synergistic passivation for CsPbBr3 perovskite solar cells with record 1.707 V Voc and 11.23% efficiency,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,diphenylphosphine (DPP),,,,,passivate defects and enhance device performance,PbBr2 precursor solution,11.23,1.707,,,CsPbBr3,performance retention: 90 % (after 1800 h under 80 degrees C or 80% relative humidity)
Dual-site synergistic passivation for CsPbBr3 perovskite solar cells with record 1.707 V Voc and 11.23% efficiency,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"1,3-bis (diphenylphosphino) propane (DPPP)",81219,,,,achieves significantly improved defect passivation efficiency,,11.23,1.707,,,CsPbBr3,performance retention: 90 % (after 1800 h under 80 degrees C or 80% relative humidity)
Efficient MA-free perovskite solar cells with balanced carrier transport achieved using 4-trifluorophenylammonium iodide,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,4-trifluorophenylammonium iodide (TFPAI),,,fluorine-containing aromatic ammonium salt,fluorine-containing; aromatic; ammonium; iodide,to form a 2D/3D junction on top of a Cs/FA-based perovskite,on top of a Cs/FA-based perovskite; 2D capping segment,22.7,,,,Cs/FA-based perovskite,moisture tolerance: None None (None); thermal stability: None None (None)
Efficient and stable perovskite solar cells processed with fluoroethylene carbonates,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,fluoroethylene carbonate (FEC),,,Lewis-based molecule; processing additive,,processing additives to tune physical properties of TCMHPs,,24,,,,triple cation MHPs (termed TCMHPs),stability: None None (None)
Efficient fully-vacuum-processed perovskite solar cells using copper phthalocyanine as hole selective layers,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,small-molecule organic copper phthalocyanine (CuPc),,,small-molecule organic,,hole selective material,hole selective layer,15.42,1.04,,77.47,organic-inorganic lead halide perovskite,stability: None None (None); long-term stability: None None (None)
Elucidating the mechanism of perovskite surface passivation with organic molecules: the impact of π-conjugation length,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"2-(3-ethylamine)benzothieno[3,2-b]benzothiophene hydroiodide (BTBTAI)",,,organic molecule,,defect passivation; enhance hole extraction,perovskite surfaces / interfaces,24.6,,,,formamidinium lead iodide-based PSCs,efficiency retention: 85 % (after 1000 hours of continuous light illumination at 25 degrees C in formamidinium lead iodide-based PSCs)
Energy level-modulated non-fullerene small molecule acceptors for improved VOC and efficiency of inverted perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,IT-4X,,,n-type non-fullerene small molecule acceptors,,electron transport layer (ETL); interfacial layer,ETL; interfacial layer,17.65,,,,solution-processed perovskite solar cells (PVSCs),long-term stability: None None (ambient atmosphere)
Energy level-modulated non-fullerene small molecule acceptors for improved VOC and efficiency of inverted perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,IT-4M,,,n-type non-fullerene small molecule acceptor,,electron transport layer (ETL),ETL,17.65,,,,solution-processed perovskite solar cells (PVSCs),long-term stability: None None (ambient atmosphere)
Energy level-modulated non-fullerene small molecule acceptors for improved VOC and efficiency of inverted perovskite solar cells,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,PCBM,53384373,,fullerene-based ETL,,electron transport layer (ETL),ETL,17.65,,,,solution-processed perovskite solar cells (PVSCs),long-term stability: None None (ambient atmosphere)
Enhanced long-term stability of perovskite solar cells by passivating grain boundary with polydimethylsiloxane (PDMS),,JOURNAL OF MATERIALS CHEMISTRY A,11.9,polydimethylsiloxane (PDMS),,,,,passivate the perovskite grains and adjacent grain boundaries (GBs),perovskite grains and adjacent grain boundaries (GBs),22,,,,Organic-inorganic hybrid perovskite,PCE retention: 90 % (laboratory storage for 5000 h under 70% relative humidity)
Enhanced performance of perovskite solar cells via anti-solvent nonfullerene Lewis base IT-4F induced trap-passivation,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,IT-4F,135395313,,new nonfullerene small molecule,,passivate ionic defects of hybrid perovskites,during the antisolvent process of perovskite film formation,18.3,,,,organic-inorganic halide perovskite,stability of films: None None (under ambient conditions)
Enhanced tin halide perovskite solar cells via crystal growth control using a multifunctional interfacial modifier,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,diethyl-methyl-octadecanoyloxymethyl-ammonium iodide (DMOAI),,,,C-N,"interfacial layer between poly(3,4-ethylenedioxythiophene) polystyrene sulfonate (PEDOT:PSS) and Sn-HP","between poly(3,4-ethylenedioxythiophene) polystyrene sulfonate (PEDOT:PSS) and Sn-HP",13.39,,,,Tin-based halide perovskites (Sn-HPs),PCE retention: 85 % (after 2500 hours in an N2 atmosphere)
Enhanced tin halide perovskite solar cells via crystal growth control using a multifunctional interfacial modifier,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"poly(3,4-ethylenedioxythiophene) polystyrene sulfonate (PEDOT:PSS)",,,polymer,,substrate whose surface interacts with DMOAI,PEDOT:PSS surface,13.39,,,,Tin-based halide perovskites (Sn-HPs),PCE retention: 85 % (after 2500 hours in an N2 atmosphere)
Enhancement of open circuit voltage for CuSCN-based perovskite solar cells by controlling the perovskite/CuSCN interface with functional molecules,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,CuSCN,61264,,low-cost inorganic hole transporting material (HTM),,hole transporting material (HTM) used in PSCs,perovskite/CuSCN interface,19.17,,,,CH3NH3PbI3 (MAPbI(3)),PCE remaining: 86 % (after 200 days at a relative humidity of 30 +/- 5%); PCE remaining: 73 % (after 200 days at a relative humidity of 30 +/- 5%); PCE remaining: 56 % (after 200 days at a relative humidity of 30 +/- 5%)
Enhancement of open circuit voltage for CuSCN-based perovskite solar cells by controlling the perovskite/CuSCN interface with functional molecules,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,3-pyridyl isothiocyanate (Pr-ITC),2737242,,functional molecule,3-pyridyl; isothiocyanate,introduced to passivate defects and improve contact between MAPbI(3) and CuSCN; part of mixture that increased V-OC,on the surface of MAPbI(3) and at the perovskite/CuSCN interface,19.17,,,,CH3NH3PbI3 (MAPbI(3)),PCE remaining: 86 % (after 200 days at a relative humidity of 30 +/- 5%); PCE remaining: 73 % (after 200 days at a relative humidity of 30 +/- 5%); PCE remaining: 56 % (after 200 days at a relative humidity of 30 +/- 5%)
Enhancement of open circuit voltage for CuSCN-based perovskite solar cells by controlling the perovskite/CuSCN interface with functional molecules,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"phenylene-1,4-diisothiocyanate (Ph-DITC)",19958,,functional molecule,phenylene; diisothiocyanate,introduced to passivate defects and improve contact between MAPbI(3) and CuSCN; part of mixture that increased V-OC,on the surface of MAPbI(3) and at the perovskite/CuSCN interface,19.17,,,,CH3NH3PbI3 (MAPbI(3)),PCE remaining: 86 % (after 200 days at a relative humidity of 30 +/- 5%); PCE remaining: 73 % (after 200 days at a relative humidity of 30 +/- 5%); PCE remaining: 56 % (after 200 days at a relative humidity of 30 +/- 5%)
Enhancement of open circuit voltage for CuSCN-based perovskite solar cells by controlling the perovskite/CuSCN interface with functional molecules,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,spiro-OMeTAD,16161850,,,,hole-conductor used in PSC-spiro (comparison device),,19.17,,,,CH3NH3PbI3 (MAPbI(3)),PCE remaining: 86 % (after 200 days at a relative humidity of 30 +/- 5%); PCE remaining: 73 % (after 200 days at a relative humidity of 30 +/- 5%); PCE remaining: 56 % (after 200 days at a relative humidity of 30 +/- 5%)
Enhancing inverted perovskite solar cell performance via buried modification for improved interface and stability,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"5-((5-nitrothiazole-2-yl) thioyl)-1,3,4-thiadiazole-2-amine (5-1T2A)",,,,,layer introduced between the OSAM and perovskite to improve anode interface carrier extraction and perovskite film crystallization,between the OSAM and perovskite,23.5,1.13,,,Inverted perovskite solar cells (IPSCs),"PCE retention after thermal aging: None % (thermal aging for 504 h (85 degrees C, N2)); PCE retention after thermal aging (no 5-1T2A): 38 % (after 168 h (thermal aging)); PCE retention after storage in N2: 103 % (storage in N2 (25 degrees C) for 468 h); PCE retention after storage in N2 (no 5-1T2A): 91 % (storage in N2 (25 degrees C) for 468 h)"
Fabrication of an ultrathin PEG-modified PEDOT:PSS HTL for high-efficiency Sn-Pb perovskite solar cells by an eco-friendly solvent etching technique,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"Poly(3,4-ethylenedioxythiophene):poly(styrene sulfonate) (PEDOT:PSS)",,,polymer,,hole transport layer (HTL),PEDOT:PSS/perovskite interface,21.58,,,,Sn-Pb perovskite,stability: None None (None)
Fabrication of stable perovskite solar cells with efficiency over 20% in open air using in situ polymerized bi-functional additives,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,"2,2,2-trifluoroethyl methacrylate (TFEMA)",9608,,crosslinked polymerizable bi-functional defect passivation agent,,defect passivation agent,incorporated into the antisolvent,20.18,,,,,efficiency retention after thermal annealing: 85.5 % (consecutive 300 h thermal annealing process); efficiency retention after shelf storage: 82.7 % (2400 h shelf storage)
Face-on oriented hydrophobic conjugated polymers as dopant-free hole-transport materials for efficient and stable perovskite solar cells with a fill factor approaching 85%,,JOURNAL OF MATERIALS CHEMISTRY A,11.9,PBZ-3Si,,,polymer,complete siloxane-terminated side chains,DF-HTM,employed in planar n-i-p PSCs as the DF-HTM,20.18,,,85,,"efficiency retention: 76 % (after 333 h under 85 degrees C and 70 +/- 10% relative humidity conditions, devices without encapsulation); thermal and moisture stability: None None (None)"
